"name","file_system","mount_point","size","computer","provided_by","computer.disk_space","computer.name","computer.os","computer.used_for"
"/dev/mapper/vg_root-lv_hometmp","xfs","/home/tmp","1014.0 MB","SAAI-SRAMP01","","116","SAAI-SRAMP01","Linux Red Hat","Production"
"10.151.41.86:/alfi/files","nfs4","/home/esb/interfaces/imagine/alfi","888.2 PB","saeu-esbmv01","","197","saeu-esbmv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_orafra-lv_orafra","ext4","/orafra","245.9 GB","EUD3-PR-MUTMAIN","","9 605,07","EUD3-PR-MUTMAIN","Linux Red Hat","Production"
"/dev/mapper/vg01-lvoracle","ext4","/u01/app/oracle","49.1 GB","argebzstgdb01","","4 649","argebzstgdb01","Linux Red Hat","Preproduction"
"/dev/mapper/VolGroup-crashvol","ext4","/var/crash","9.7 GB","saagebzprddb02","","8 224,47","saagebzprddb02","Linux Red Hat","Production"
"/dev/sda1","xfs","/boot","496.7 MB","siai-probp01","/dev/sda1","250,15","siai-probp01","Linux Red Hat","Production"
"/dev/mapper/vg_data-lv_homesplunk","xfs","/home/splunk","4.0 GB","co-esbgw02-prod","","126","co-esbgw02-prod","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_var","ext4","/var","4.8 GB","eu-lxeco-prod","","111","eu-lxeco-prod","Linux Red Hat","Production"
"/dev/mapper/db-lv_db_local","ext4","/db","29.4 GB","sanasvxdd01","","782,23","sanasvxdd01","Linux Red Hat","Development"
"uxadmin-alseis.eu.corp.airliquide.com:/vol/C3_PER_VUNIX/HomeDirs","nfs4","/home/users","40.0 GB","saho-alfrp02","","139","saho-alfrp02","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_root","xfs","/","10.0 GB","saeu-ouaav02","","487","saeu-ouaav02","Linux Red Hat","Preproduction"
"10.196.18.14:/AGS_commerce_uat_app/data/images","nfs4","/var/www/prod/arg-hybris/images","196.0 GB","argebzstgweb02","","301","argebzstgweb02","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_exploit","xfs","/home/exploit","252.7 MB","SIAI-ZPACD01","","105","SIAI-ZPACD01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_app-lv_app","xfs","/app","199.9 GB","saag-terraap02","","551","saag-terraap02","Linux Red Hat","Production"
"lie1apd:/home/interface2","nfs4","/eu-oraliGZ-dev/lie1apd/home/interface2","2.0 GB","ai-samba-pprd","","117","ai-samba-pprd","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_hometmp","xfs","/home/tmp","1014.0 MB","SIHO-ARCWP01","","151","SIHO-ARCWP01","Linux Red Hat","Production"
"10.152.74.121:/interfaces","nfs4","/ETL-EU-EFS-PROD-INTERFACES-RO-10-152.74.60","888.2 PB","ai-samba-prod","","114","ai-samba-prod","Linux Red Hat","Production"
"/dev/nvme0n1p1","ext4","/boot","487.9 MB","argebzqapub01","/dev/nvme0n1p1","673,78","argebzqapub01","Linux Red Hat","Preproduction"
"/dev/mapper/vg00-auditvol","ext4","/var/log/audit","987.7 MB","argebzprdend01","","1 142","argebzprdend01","Linux Red Hat","Production"
"/dev/mapper/root_vg-lv_home","ext4","/home","6.4 GB","sana-aixp-ibm1-dr","","3 117","sana-aixp-ibm1-dr","Linux Red Hat","Production"
"/dev/sda1","xfs","/boot","496.7 MB","saho-alfrv02","/dev/sda1","139","saho-alfrv02","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_homesplunk","xfs","/home/splunk","4.0 GB","siai-etxcv01","","135","siai-etxcv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_var","xfs","/var","5.0 GB","ai-samba-prod","","114","ai-samba-prod","Linux Red Hat","Production"
"vmalqnasnprd02:/aghybrisprod","nfs4","/hybrissharepoint","4.9 GB","argebzprdweb03","","736","argebzprdweb03","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_exploit","ext4","/home/exploit","239.9 MB","saeu-madiv01","","200","saeu-madiv01","Linux Red Hat","Preproduction"
"lie1apu:/home/interface","nfs4","/eu-oraliGZ-pprd/lie1apu/home/interface","2.0 GB","ai-samba-pprd","","117","ai-samba-pprd","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_hometmp","xfs","/home/tmp","1014.0 MB","saeu-prdgp05","","451,95","saeu-prdgp05","Linux Red Hat","Production"
"/dev/mapper/vg00-crashvol","ext4","/var/crash","19.6 GB","argebzdevend01","","226,15","argebzdevend01","Linux Red Hat","Development"
"/dev/sda1","xfs","/boot","496.7 MB","SIAI-SRAMP02","/dev/sda1","116","SIAI-SRAMP02","Linux Red Hat","Production"
"/dev/mapper/vg_data-lv_hraccess","xfs","/home/interfaces/HRACCESS","96.7 MB","siai-gatwv01","","352","siai-gatwv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_var","xfs","/var","5.0 GB","saeu-lagep01","","66,85","saeu-lagep01","Linux Red Hat","Production"
"/dev/mapper/sap_hb_transfer_vg-sap_hb_transfer","xfs","/sap_hb_transfer","699.8 GB","saag-bwstp09","","1 509,45","saag-bwstp09","Linux Red Hat","Production"
"/dev/mapper/mpathb1","ext4","/boot","968.3 MB","argebzstgdb03","","7 136,1","argebzstgdb03","Linux Red Hat","Preproduction"
"ai-uxinfra-pprd:/home/logsurfer","nfs4","/logsurfer","64.0 MB","ai-samba-pprd","","117","ai-samba-pprd","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_tmp","xfs","/tmp","1014.0 MB","siai-ansip01","","126","siai-ansip01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_hpomuser","ext4","/home/hpomuser","120.0 MB","SAHO-ARCWV01","","149","SAHO-ARCWV01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_admin","xfs","/admin","60.7 MB","SAAI-SAPRP01","","105","SAAI-SAPRP01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_home","ext4","/home","58.0 MB","eu-lxeco-dev","","111","eu-lxeco-dev","Linux Red Hat","Development"
"/dev/mapper/vg_data-lv_sirhprd","xfs","/home/sirhprd","95.0 GB","saho-archp01","","249","saho-archp01","Linux Red Hat","Production"
"/dev/mapper/vg00-homevol","ext4","/home","9.7 GB","argebzdevend01","","226,15","argebzdevend01","Linux Red Hat","Development"
"/dev/mapper/root_vg-lv_tmp","ext4","/tmp","9.8 GB","sanatlsdp01","","1 038","sanatlsdp01","Linux Red Hat","Production"
"/dev/sda1","ext4","/boot","189.7 MB","EUD3-PP-SVXADTG","/dev/sda1","11 028,07","EUD3-PP-SVXADTG","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_optTMEA","xfs","/opt/TMEA","30.0 GB","siai-probv01","","265,2","siai-probv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_varcrash","ext4","/var/crash","9.7 GB","argebzstgdb03","","7 136,1","argebzstgdb03","Linux Red Hat","Preproduction"
"/dev/mapper/rhel-cva","xfs","/cva","5.0 GB","sana-ebsrdp01","","43 187,11","sana-ebsrdp01","Linux Red Hat","Production"
"/dev/nvme0n1p2","xfs","/","100.0 GB","saag-hyodb2s01","/dev/nvme0n1p2","1 119,47","saag-hyodb2s01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-data","xfs","/data","70.0 GB","eud3-pr-rumprob","","212","eud3-pr-rumprob","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_tmp","ext4","/tmp","975.9 MB","SIAI-NTSYP01","","642","SIAI-NTSYP01","Linux Red Hat","Production"
"svmdcin99:/NFS_vol/nfs_qtree","nfs4","/test-pals","1.5 GB","saif-rhelpocd02","","126","saif-rhelpocd02","Linux Red Hat","Sandbox"
"/dev/mapper/vg_root-lv_hpomuser","xfs","/home/hpomuser","124.7 MB","SIAI-NTRDP02","","154","SIAI-NTRDP02","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_admin","xfs","/admin","60.7 MB","siai-gatwv01","","352","siai-gatwv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_home","xfs","/home","124.7 MB","saeu-vdbwd01","","124","saeu-vdbwd01","Linux Red Hat","Development"
"/dev/mapper/vg_data-lv_tomcat","ext4","/home/tomcat","9.7 GB","eu-lxeco-prod","","111","eu-lxeco-prod","Linux Red Hat","Production"
"/dev/mapper/vg00-lv_cva","ext4","/cva","4.8 GB","argebzprdess01","","1 102","argebzprdess01","Linux Red Hat","Production"
"/dev/mapper/root_vg-lv_var","ext4","/var","5.9 GB","sanamxmdd01","","2 724","sanamxmdd01","Linux Red Hat","Development"
"/dev/sda1","xfs","/boot","496.7 MB","saeu-esbmv01","/dev/sda1","197","saeu-esbmv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_sapmnt_opw_gcache","xfs","/sapmnt/OPW/global/CACHE","96.7 MB","saeu-opwcp01","","633","saeu-opwcp01","Linux Red Hat","Production"
